Date,High,Low,Open,Close,Volume,Adj Close
6/21/2018,1763.099976,1717.560059,1760,1730.219971,4941100,1730.219971
6/22/2018,1743,1711.900024,1742.619995,1715.670044,4075100,1715.670044
6/25/2018,1705,1646.310059,1702.51001,1663.150024,7511200,1663.150024
6/26/2018,1701.569946,1663.339966,1672.369995,1691.089966,4386600,1691.089966
6/27/2018,1711.949951,1660,1708.109985,1660.51001,4872200,1660.51001
6/28/2018,1705.5,1661.170044,1672.540039,1701.449951,4529700,1701.449951
6/29/2018,1723.410034,1694.319946,1717,1699.800049,4543500,1699.800049
7/2/2018,1713.890015,1678.060059,1682.699951,1713.780029,3185700,1713.780029
7/3/2018,1725,1692.47998,1723.959961,1693.959961,2177300,1693.959961
7/5/2018,1710.689941,1682.150024,1705.380005,1699.72998,2983100,1699.72998
7/6/2018,1715.27002,1691.670044,1696,1710.630005,2650300,1710.630005
7/9/2018,1739.560059,1716.22998,1724.050049,1739.02002,3012000,1739.02002
7/10/2018,1750,1731,1738.530029,1743.069946,3002900,1743.069946
7/11/2018,1756.959961,1734,1737.98999,1755,3209800,1755
7/12/2018,1798,1762.180054,1764.51001,1796.619995,4532700,1796.619995
7/13/2018,1815.300049,1795.22998,1803.930054,1813.030029,4383200,1813.030029
7/16/2018,1841.949951,1814.449951,1821.949951,1822.48999,5466200,1822.48999
7/17/2018,1851.689941,1797.380005,1811.560059,1843.930054,5682900,1843.930054
7/18/2018,1858.880005,1831.27002,1848,1842.920044,4861900,1842.920044
7/19/2018,1841,1811.27002,1829.459961,1812.969971,4676900,1812.969971
7/20/2018,1834.839966,1810.060059,1825.01001,1813.699951,3884400,1813.699951
7/23/2018,1819,1769.98999,1812.209961,1802,3888500,1802
7/24/2018,1840,1809.380005,1829.01001,1829.23999,4278700,1829.23999
7/25/2018,1863.839966,1822.640015,1829.300049,1863.609985,3738200,1863.609985
7/26/2018,1844.680054,1804.5,1839,1808,9924400,1808
7/27/2018,1880.050049,1806.530029,1876.050049,1817.27002,9681000,1817.27002
7/30/2018,1829.5,1766.02002,1827.329956,1779.219971,6562300,1779.219971
7/31/2018,1801.829956,1739.319946,1786.48999,1777.439941,5738700,1777.439941
8/1/2018,1798.439941,1776.02002,1784,1797.170044,4153100,1797.170044
8/2/2018,1836.560059,1786,1788.77002,1834.329956,4354700,1834.329956
8/3/2018,1841,1821.5,1837.73999,1823.290039,3460500,1823.290039
8/6/2018,1847.77002,1818.920044,1825.810059,1847.75,3391800,1847.75
8/7/2018,1869.719971,1846.27002,1854.530029,1862.47998,3377500,1862.47998
8/8/2018,1891.51001,1854.5,1861,1886.52002,3963000,1886.52002
8/9/2018,1914.569946,1877.47998,1882,1898.52002,4849900,1898.52002
8/10/2018,1899.5,1878.209961,1888.51001,1886.300049,3639900,1886.300049
8/13/2018,1925,1893.670044,1898.5,1896.199951,5512600,1896.199951
8/14/2018,1921.01001,1900,1919.390015,1919.650024,3986100,1919.650024
8/15/2018,1916.209961,1869.790039,1909.550049,1882.619995,7700700,1882.619995
8/16/2018,1905,1883.550049,1903.939941,1886.52002,3957100,1886.52002
8/17/2018,1888,1855.550049,1885.800049,1882.219971,4104300,1882.219971
8/20/2018,1891.75,1866.060059,1890.569946,1876.709961,2862000,1876.709961
8/21/2018,1897.75,1874.410034,1880,1883.420044,3105600,1883.420044
8/22/2018,1905.800049,1876.640015,1876.640015,1904.900024,3080500,1904.900024
8/23/2018,1919.5,1900.76001,1907.170044,1902.900024,3563000,1902.900024
8/24/2018,1916.01001,1902.540039,1910.51001,1905.390015,2800900,1905.390015
